,ID,KIDSDRIV,AGE,HOMEKIDS,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,TRAVTIME,CAR_USE,BLUE_BOOK,RED_CAR,OLD_CLAIM,CLM_FREQ,REVOKED,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBAN_CITY,EDUCATION_<High School,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,EDUCATION_z_High School,CAR_TYPE_Minivan,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,OCCUPATION_Clerical,OCCUPATION_Doctor,OCCUPATION_Home Maker,OCCUPATION_Lawyer,OCCUPATION_Manager,OCCUPATION_Professional,OCCUPATION_Student,OCCUPATION_z_Blue Collar,binned_AGE,binned_INCOME,binned_HOME_VAL,binned_OLD_CLAIM,binned_CLM_FREQ,binned_CLM_AMT,binned_CAR_AGE
3182,305897392,0,58,0,151814,0,420602,0,0,35,1,11440,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,9,8,0,0,0,6
97,10677450,0,47,0,87887,0,0,0,0,23,1,6200,0,6841,1,0,0,14,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,7,0,2,0,0,6
2503,237764523,0,53,0,142206,0,0,0,1,34,1,21720,0,0,0,1,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,9,0,0,0,0,4
2150,204021526,0,48,0,34606,0,163682,1,1,42,0,14400,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,4,0,0,0,0
960,92890623,1,37,2,54349,0,212419,1,0,28,1,10630,0,1381,1,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,5,0,0,0,5
5735,551324330,0,52,0,63346,0,252296,1,1,31,0,24780,1,0,0,0,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,5,6,0,0,0,3
9838,948426614,0,45,1,0,1,0,0,0,44,1,1500,0,0,0,0,5645,7,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,2
7716,738568522,0,58,0,34136,0,163417,1,1,28,1,17000,1,26749,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,3,4,3,0,0,0
5347,515374908,0,47,0,140533,0,0,0,1,56,0,26430,0,50375,1,1,0,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,0,0,6
2522,240048456,0,44,0,68820,0,197831,1,0,16,0,12780,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,6,5,0,0,0,0
5885,570398624,0,45,1,65940,0,231593,1,1,43,1,14510,0,0,0,0,0,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,6,0,0,0,4
1190,114966909,0,36,0,32905,0,5485,0,1,30,0,5100,1,6014,2,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,0,3
6230,600884000,0,46,0,48284,0,180887,1,1,49,0,10880,1,28621,2,1,6663,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,4,3,1,2,0
2859,277244526,2,41,3,11233,0,140788,1,0,53,1,10580,0,8829,2,0,3858,18,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,3,2,1,1,8
8963,862198246,0,54,0,63339,0,0,0,1,33,0,8450,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,5,0,0,0,0,1
6477,623213210,0,46,0,99224,0,274393,1,1,33,0,13500,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,7,0,0,0,5
3778,361782057,0,53,0,32956,0,202231,1,0,57,0,18150,0,0,0,0,6603,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,2,5,0,0,2,0
5511,530173152,0,56,0,132115,0,373191,1,1,16,0,26770,0,0,0,1,0,14,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,9,8,0,0,0,6
6776,650676239,0,54,0,164420,0,402031,1,0,48,1,1500,0,10878,1,0,3736,21,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,9,8,3,0,1,8
5789,557398026,0,45,0,0,0,70232,1,0,38,1,23460,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0
7842,749655710,0,51,0,102469,0,336343,1,0,27,1,6600,0,0,0,0,0,13,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,8,8,0,0,0,6
2533,240458002,0,41,1,141776,0,352314,1,1,62,0,22220,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,5
9366,902503243,0,48,0,7505,0,116332,1,0,37,1,14300,0,7341,1,0,5542,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,2,2,0,2,1
10124,981294220,0,25,1,23245,1,0,0,1,47,1,7410,1,965,2,0,5642,7,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,2
