KIDSDRIV,AGE,HOMEKIDS,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,TRAVTIME,CAR_USE,BLUE_BOOK,RED_CAR,OLD_CLAIM,CLM_FREQ,REVOKED,CAR_AGE,URBAN_CITY,CAR_TYPE_Minivan,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,OCCUPATION_codes_Clerical,OCCUPATION_codes_Doctor,OCCUPATION_codes_Home Maker,OCCUPATION_codes_Lawyer,OCCUPATION_codes_Manager,OCCUPATION_codes_Professional,OCCUPATION_codes_Student,OCCUPATION_codes_z_Blue_Collar,EDUCATION,CLAIM_FLAG
0,5,0,11,0,2,1,0,1,1,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
0,3,1,10,1,1,0,0,0,1,2,0,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,5,0,10,0,2,0,0,5,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
1,4,0,10,0,1,0,1,2,1,2,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,4,2,10,0,2,1,0,4,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4,0,10,0,2,1,0,0,0,2,0,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0
0,4,0,10,0,2,1,0,5,1,2,0,2,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0
0,4,0,10,0,2,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4,0,0,0,1,0,1,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,4,2,7,1,1,0,1,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
0,4,0,10,0,2,1,0,0,0,3,0,3,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1
0,4,0,11,0,3,1,0,3,1,2,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0
0,4,0,10,0,2,1,0,3,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0
0,3,0,10,0,2,1,0,4,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,5,0,11,0,3,1,1,4,0,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1
0,4,0,11,0,1,0,0,2,1,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
0,6,0,10,0,2,1,0,1,1,1,0,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0
0,3,2,10,0,2,1,1,4,1,1,1,3,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
2,3,3,0,1,1,0,0,3,0,3,0,0,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1
0,5,0,11,0,2,1,0,2,1,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
0,4,0,10,0,2,1,1,3,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,0,10,0,2,1,1,3,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,4,0,11,0,2,1,1,2,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,3,4,10,0,2,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0,4,2,10,0,2,1,0,3,1,3,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,3,2,10,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
0,4,0,11,0,2,1,0,4,1,2,0,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1
0,4,0,10,0,2,1,0,3,1,2,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0
0,4,0,11,0,2,1,1,0,0,3,1,5,2,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0
0,3,5,0,0,1,1,1,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4,0,11,0,3,1,0,2,1,3,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
0,4,0,11,0,2,1,1,0,1,2,1,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
0,4,2,10,1,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,3,1,11,1,1,0,0,2,1,2,0,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
0,4,0,0,0,1,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,4,0,10,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4,0,9,0,1,1,1,4,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
0,4,0,10,0,2,1,0,1,0,2,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,4,0,10,0,2,1,0,1,0,2,0,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,4,1,10,1,1,0,0,2,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,11,0,2,1,0,1,1,3,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
0,4,0,10,0,2,1,0,4,0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,4,0,10,0,2,1,0,4,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,3,3,0,0,1,1,0,5,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,5,0,11,0,1,0,1,2,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0
2,4,2,11,0,2,1,0,2,0,2,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
0,3,0,10,0,2,1,1,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,4,3,11,1,1,0,0,0,0,2,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,4,1,11,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,5,0,11,0,2,0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,4,1,11,1,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
0,5,0,9,0,2,1,0,4,1,2,0,4,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,4,2,11,1,2,0,1,2,0,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,5,0,11,0,1,0,1,4,1,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,3,0,11,0,2,1,1,2,1,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
1,4,3,5,1,1,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,4,0,10,0,1,0,0,3,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,4,0,10,0,2,0,1,2,0,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0,3,0,10,0,2,1,1,4,1,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
